iter	Passed	Remaining
0	79	79225
1	93	46669
2	106	35438
3	117	29262
4	132	26397
5	146	24265
6	156	22150
7	167	20752
8	180	19874
9	191	18918
10	201	18153
11	213	17553
12	223	16930
13	232	16408
14	247	16261
15	256	15749
16	263	15234
17	274	14992
18	282	14571
19	295	14473
20	303	14135
21	312	13882
22	321	13662
23	333	13580
24	347	13547
25	356	13341
26	367	13228
27	376	13083
28	387	12990
29	397	12842
30	405	12684
31	416	12589
32	432	12667
33	445	12664
34	455	12548
35	461	12357
36	472	12290
37	484	12260
38	495	12204
39	509	12220
40	523	12235
41	533	12178
42	548	12205
43	557	12121
44	573	12164
45	577	11973
46	593	12028
47	605	12001
48	620	12050
49	631	12004
50	643	11965
51	654	11938
52	672	12011
53	684	11992
54	701	12045
55	717	12099
56	731	12104
57	737	11975
58	744	11870
59	755	11837
60	767	11812
61	782	11833
62	786	11697
63	804	11759
64	819	11784
65	832	11782
66	849	11825
67	864	11844
68	877	11839
69	897	11919
70	908	11882
71	915	11804
72	922	11711
73	928	11615
74	940	11594
75	950	11551
76	961	11528
77	970	11475
78	979	11415
79	984	11323
80	990	11236
81	1002	11228
82	1018	11256
83	1028	11211
84	1040	11203
85	1052	11191
86	1076	11300
87	1091	11315
88	1097	11230
89	1104	11167
90	1112	11111
91	1124	11097
92	1137	11094
93	1148	11072
94	1160	11058
95	1166	10984
96	1177	10958
97	1196	11013
98	1205	10975
99	1216	10949
100	1221	10869
101	1234	10867
102	1247	10867
103	1259	10855
104	1269	10823
105	1281	10807
106	1292	10786
107	1305	10780
108	1319	10786
109	1329	10760
110	1338	10719
111	1347	10680
112	1356	10648
113	1370	10652
114	1380	10627
115	1392	10608
116	1402	10587
117	1415	10581
118	1422	10528
119	1434	10522
120	1442	10476
121	1453	10459
122	1463	10431
123	1472	10404
124	1484	10393
125	1494	10365
126	1504	10341
127	1516	10328
128	1527	10312
129	1533	10264
130	1545	10251
131	1550	10194
132	1561	10178
133	1576	10185
134	1582	10140
135	1594	10129
136	1605	10116
137	1621	10125
138	1632	10109
139	1645	10107
140	1657	10096
141	1668	10081
142	1680	10071
143	1685	10019
144	1697	10006
145	1708	9990
146	1719	9980
147	1732	9972
148	1739	9936
149	1753	9935
150	1765	9924
151	1776	9910
152	1792	9924
153	1807	9927
154	1820	9921
155	1830	9905
156	1843	9898
157	1856	9890
158	1863	9856
159	1874	9839
160	1879	9792
161	1891	9783
162	1902	9769
163	1916	9768
164	1927	9756
165	1938	9740
166	1949	9725
167	1962	9720
168	1974	9707
169	1984	9690
170	1993	9666
171	2008	9668
172	2020	9659
173	2031	9645
174	2043	9634
175	2053	9615
176	2065	9605
177	2078	9598
178	2093	9599
179	2102	9578
180	2108	9540
181	2116	9513
182	2125	9488
183	2137	9477
184	2150	9474
185	2161	9461
186	2171	9442
187	2192	9470
188	2203	9453
189	2214	9439
190	2218	9398
191	2231	9389
192	2243	9382
193	2257	9377
194	2269	9367
195	2280	9355
196	2290	9335
197	2301	9322
198	2313	9310
199	2323	9292
200	2337	9291
201	2348	9279
202	2362	9274
203	2379	9286
204	2386	9254
205	2395	9234
206	2407	9222
207	2419	9212
208	2431	9201
209	2443	9190
210	2454	9179
211	2460	9145
212	2472	9135
213	2480	9110
214	2490	9091
215	2501	9080
216	2509	9055
217	2516	9026
218	2533	9035
219	2546	9026
220	2554	9002
221	2565	8991
222	2577	8981
223	2592	8980
224	2602	8963
225	2614	8954
226	2625	8940
227	2637	8931
228	2646	8911
229	2656	8892
230	2664	8868
231	2673	8851
232	2680	8825
233	2687	8797
234	2695	8775
235	2706	8760
236	2715	8743
237	2722	8717
238	2730	8693
239	2739	8673
240	2747	8653
241	2758	8640
242	2771	8633
243	2784	8626
244	2795	8615
245	2806	8603
246	2813	8576
247	2825	8569
248	2836	8554
249	2843	8531
250	2850	8506
251	2857	8482
252	2865	8461
253	2880	8460
254	2888	8437
255	2900	8428
256	2907	8404
257	2913	8379
258	2922	8361
259	2929	8337
260	2936	8313
261	2943	8292
262	2951	8269
263	2958	8247
264	2965	8224
265	2977	8217
266	2988	8205
267	2997	8185
268	3008	8175
269	3020	8167
270	3032	8156
271	3043	8146
272	3059	8148
273	3069	8132
274	3076	8111
275	3083	8089
276	3090	8065
277	3096	8042
278	3103	8019
279	3109	7997
280	3116	7973
281	3128	7966
282	3136	7947
283	3147	7935
284	3157	7920
285	3163	7898
286	3170	7876
287	3181	7866
288	3192	7854
289	3208	7856
290	3221	7849
291	3229	7830
292	3236	7808
293	3246	7796
294	3258	7788
295	3269	7776
296	3281	7766
297	3287	7744
298	3294	7723
299	3302	7705
300	3309	7685
301	3316	7664
302	3322	7641
303	3328	7621
304	3343	7618
305	3355	7610
306	3364	7595
307	3375	7583
308	3392	7586
309	3399	7566
310	3405	7545
311	3418	7539
312	3425	7518
313	3436	7506
314	3442	7484
315	3454	7476
316	3461	7457
317	3472	7446
318	3484	7438
319	3495	7426
320	3501	7407
321	3508	7387
322	3520	7378
323	3527	7359
324	3543	7358
325	3551	7343
326	3564	7336
327	3577	7329
328	3583	7309
329	3596	7301
330	3606	7288
331	3613	7269
332	3619	7249
333	3631	7242
334	3641	7228
335	3652	7217
336	3664	7208
337	3675	7199
338	3687	7189
339	3701	7185
340	3712	7175
341	3722	7162
342	3732	7149
343	3744	7140
344	3754	7128
345	3765	7117
346	3774	7103
347	3781	7085
348	3794	7077
349	3806	7069
350	3817	7058
351	3827	7046
352	3840	7039
353	3851	7028
354	3863	7018
355	3874	7009
356	3885	6998
357	3904	7001
358	3913	6987
359	3924	6976
360	3936	6968
361	3949	6960
362	3963	6954
363	3970	6937
364	3982	6927
365	3991	6913
366	4003	6904
367	4014	6894
368	4027	6887
369	4033	6867
370	4042	6854
371	4055	6846
372	4068	6838
373	4080	6830
374	4094	6823
375	4106	6815
376	4118	6805
377	4129	6795
378	4143	6789
379	4157	6783
380	4169	6774
381	4184	6768
382	4196	6760
383	4210	6753
384	4222	6744
385	4234	6735
386	4246	6726
387	4256	6714
388	4266	6701
389	4276	6689
390	4294	6688
391	4308	6682
392	4322	6676
393	4333	6665
394	4348	6659
395	4360	6651
396	4376	6647
397	4386	6635
398	4400	6627
399	4411	6617
400	4423	6608
401	4437	6600
402	4448	6590
403	4460	6579
404	4472	6570
405	4484	6561
406	4496	6551
407	4508	6541
408	4515	6524
409	4527	6514
410	4538	6503
411	4549	6492
412	4557	6478
413	4571	6470
414	4582	6459
415	4592	6447
416	4605	6439
417	4616	6427
418	4628	6417
419	4640	6408
420	4647	6391
421	4654	6375
422	4662	6359
423	4672	6346
424	4684	6337
425	4694	6324
426	4707	6317
427	4719	6307
428	4730	6296
429	4738	6281
430	4750	6271
431	4762	6261
432	4775	6253
433	4787	6243
434	4798	6233
435	4807	6219
436	4818	6207
437	4829	6196
438	4835	6179
439	4848	6170
440	4860	6160
441	4870	6148
442	4882	6138
443	4891	6125
444	4900	6111
445	4911	6101
446	4933	6103
447	4946	6095
448	4958	6084
449	4970	6074
450	4981	6063
451	4993	6053
452	5003	6042
453	5016	6032
454	5026	6020
455	5037	6010
456	5049	5999
457	5061	5989
458	5073	5980
459	5088	5973
460	5104	5968
461	5116	5958
462	5126	5945
463	5139	5936
464	5151	5926
465	5162	5915
466	5173	5904
467	5184	5893
468	5197	5884
469	5209	5874
470	5221	5863
471	5231	5852
472	5245	5844
473	5254	5831
474	5265	5820
475	5274	5805
476	5285	5795
477	5294	5781
478	5307	5772
479	5319	5763
480	5330	5751
481	5343	5742
482	5356	5733
483	5370	5725
484	5381	5714
485	5392	5703
486	5402	5690
487	5414	5680
488	5426	5670
489	5441	5663
490	5452	5652
491	5463	5640
492	5475	5630
493	5487	5620
494	5498	5609
495	5510	5599
496	5523	5590
497	5535	5579
498	5549	5571
499	5558	5558
500	5567	5545
501	5571	5527
502	5582	5515
503	5595	5506
504	5611	5500
505	5621	5488
506	5634	5478
507	5646	5468
508	5655	5455
509	5664	5442
510	5675	5431
511	5684	5418
512	5696	5408
513	5708	5397
514	5718	5385
515	5728	5373
516	5736	5359
517	5746	5347
518	5757	5336
519	5770	5326
520	5779	5313
521	5790	5302
522	5800	5290
523	5812	5280
524	5824	5269
525	5835	5258
526	5846	5247
527	5857	5236
528	5871	5227
529	5882	5216
530	5894	5206
531	5907	5196
532	5919	5186
533	5942	5186
534	5954	5175
535	5967	5166
536	5983	5158
537	5996	5149
538	6008	5138
539	6017	5126
540	6030	5116
541	6043	5107
542	6055	5096
543	6067	5086
544	6079	5075
545	6091	5064
546	6101	5052
547	6111	5040
548	6123	5030
549	6138	5022
550	6149	5011
551	6156	4996
552	6168	4985
553	6181	4976
554	6194	4967
555	6207	4956
556	6216	4944
557	6228	4933
558	6241	4923
559	6252	4912
560	6262	4900
561	6276	4891
562	6289	4882
563	6300	4870
564	6312	4859
565	6322	4847
566	6333	4836
567	6347	4827
568	6357	4815
569	6368	4803
570	6376	4790
571	6387	4779
572	6400	4769
573	6412	4759
574	6425	4748
575	6435	4736
576	6450	4728
577	6461	4717
