iter	RMSE
0	14742708.94
10	11785228.19
20	9547092.232
30	7834192.779
40	6509921.725
50	5484994.438
60	4686178.141
70	4100871.847
80	3646234.354
90	3292662.805
100	3015899.54
110	2805696.518
120	2633175.887
130	2464542.173
140	2337749.676
150	2253154.653
160	2158467.343
170	2073024.884
180	1997527.082
190	1934817.487
200	1871315.335
210	1813073.167
220	1761739.395
230	1707779.757
240	1668839.385
250	1624288.484
260	1572678.273
270	1527796.684
280	1487141.975
290	1451353.985
300	1414914.814
310	1383070.527
320	1345012.467
330	1312508.961
340	1279555.393
350	1250642.652
360	1225120.128
370	1199427.754
380	1175934.845
390	1151613.548
400	1129099.609
410	1108701.12
420	1088930.766
430	1068615.046
440	1051343.53
450	1032970.908
460	1016885.913
470	1003720.462
480	988529.54
490	974546.6493
500	960814.9541
510	947302.8734
520	934762.6472
530	923225.7334
540	910621.8362
550	897702.8087
560	884848.1052
570	873891.9832
580	864083.7696
590	854647.2389
600	845255.3899
610	835792.4149
620	825985.1637
630	818622.1511
640	809886.1521
650	800722.9038
660	793148.3176
670	783750.492
680	774710.4154
690	765479.6628
700	757179.4636
710	750071.9141
720	742807.2203
730	736947.9613
740	729011.2796
750	723037.1028
760	716605.4066
770	709744.1863
780	703794.3564
790	696501.2981
800	690281.3863
810	683532.4475
820	678420.9285
830	671186.1834
840	666024.5809
850	659415.9984
860	653988.0138
870	647864.9163
880	642554.1231
890	637058.8798
900	631747.9978
910	626794.5607
920	623061.9176
930	618855.8228
940	613426.3599
950	607782.7
960	602649.5174
970	597530.9547
980	592929.3928
990	588203.6879
1000	583672.227
1010	579911.9426
1020	576431.9197
1030	572258.5276
1040	567100.1469
1050	560994.9491
1060	556865.4585
1070	552801.1186
1080	549728.229
1090	546415.9615
1100	542937.1897
1110	538553.101
1120	535052.3192
1130	532143.9668
1140	528521.2993
1150	525012.8345
1160	521599.1533
1170	518973.6556
1180	514997.3078
1190	511161.1632
1200	508043.0528
1210	504914.0703
1220	501404.6515
1230	498701.6167
1240	495695.3716
1250	492355.3136
1260	489219.5895
1270	486061.8359
1280	482850.0678
1290	479936.1518
1300	476590.485
1310	473600.2289
1320	471112.8008
1330	468452.9235
1340	464871.9718
1350	461922.3673
1360	459817.7179
1370	457522.603
1380	455317.5909
1390	452192.4722
1400	449560.2816
1410	447636.178
1420	445369.8691
1430	443098.1453
1440	439967.2605
1450	437050.3186
1460	433778.6194
1470	430748.3106
1480	427708.7324
1490	424542.3323
1500	422390.4189
1510	419686.8388
1520	416957.8002
1530	415085.326
1540	412443.0623
1550	410100.4551
1560	408088.3994
1570	405776.3743
1580	403425.9892
1590	401422.9295
1600	399279.7045
1610	397157.5145
1620	394425.0501
1630	392778.7186
1640	390509.2966
1650	388835.093
1660	386619.0839
1670	384720.0994
1680	382417.2645
1690	380098.6331
1700	378574.2583
1710	376361.1071
1720	374484.3121
1730	372808.6252
1740	370361.1401
1750	367956.5998
1760	366176.5568
1770	364128.3666
1780	362357.1591
1790	360421.6127
1800	358440.6104
1810	356599.638
1820	354798.3095
1830	353134.7074
1840	351632.2598
1850	350040.5553
1860	348203.0649
1870	346651.8032
1880	344787.2895
1890	343260.4908
1900	341814.7438
1910	340263.9157
1920	338645.1282
1930	336845.8852
1940	335294.5233
1950	334031.9989
1960	332312.1482
1970	330728.245
1980	329613.8637
1990	328150.6141
2000	326693.5313
2010	325377.2876
2020	324177.2965
2030	322521.5211
2040	321156.7273
2050	319910.1097
2060	318774.3095
2070	317395.0158
2080	316028.4552
2090	314401.0118
2100	312966.4113
2110	311866.8707
2120	310227.1341
2130	309155.5097
2140	307635.9944
2150	306311.6295
2160	305082.1612
2170	303924.7836
2180	302576.6795
2190	301281.8141
2200	299876.6294
2210	298964.2507
2220	297732.0167
2230	296485.2348
2240	295453.088
2250	294222.9366
2260	293022.1922
2270	291902.1856
2280	290553.1769
2290	289394.4451
2300	288334.7558
2310	287168.3259
2320	286020.8156
2330	285100.8596
2340	284038.3026
2350	282788.3858
2360	281597.622
2370	280303.1371
2380	279043.7044
2390	277799.379
2400	276667.8631
2410	275410.3088
2420	274313.7246
2430	273012.0533
2440	271869.8733
2450	270723.7809
2460	269720.9853
2470	268438.3912
2480	267196.0825
2490	266353.0628
2499	265267.0172
