iter	Passed	Remaining
433	1536	7315
434	1540	7312
435	1543	7308
436	1547	7305
437	1550	7300
438	1554	7298
439	1558	7297
440	1562	7295
441	1565	7291
442	1569	7289
443	1573	7285
444	1576	7281
445	1580	7280
446	1583	7272
447	1587	7271
448	1590	7267
449	1593	7258
450	1597	7257
451	1600	7251
452	1604	7249
453	1608	7247
454	1611	7243
455	1615	7240
456	1619	7239
457	1623	7238
458	1626	7233
459	1629	7227
460	1632	7218
461	1635	7216
462	1641	7219
463	1644	7214
464	1647	7210
465	1650	7204
466	1654	7203
467	1659	7205
468	1663	7204
469	1667	7202
470	1671	7199
471	1674	7192
472	1676	7183
473	1679	7180
474	1682	7173
475	1686	7172
476	1690	7169
477	1693	7164
478	1697	7160
479	1700	7156
480	1702	7147
481	1705	7142
482	1709	7139
483	1712	7134
484	1715	7127
485	1719	7125
486	1721	7117
487	1724	7109
488	1727	7103
489	1730	7097
490	1733	7093
491	1736	7086
492	1738	7078
493	1742	7075
494	1745	7068
495	1747	7061
496	1751	7059
497	1754	7051
498	1757	7048
499	1760	7041
500	1762	7033
501	1766	7031
502	1768	7022
503	1771	7015
504	1774	7008
505	1777	7006
506	1781	7002
507	1785	7002
508	1788	6995
509	1792	6993
510	1795	6987
511	1799	6986
512	1802	6981
513	1806	6979
514	1810	6976
515	1813	6973
516	1816	6965
517	1819	6961
518	1822	6956
519	1825	6952
520	1828	6945
521	1830	6937
522	1833	6931
523	1837	6928
524	1841	6926
525	1845	6925
526	1848	6920
527	1852	6918
528	1856	6916
529	1858	6908
530	1862	6905
531	1864	6898
532	1868	6896
533	1871	6891
534	1876	6890
535	1879	6888
536	1882	6881
537	1886	6877
538	1888	6872
539	1892	6868
540	1894	6861
541	1898	6856
542	1901	6853
543	1905	6850
544	1909	6850
545	1913	6846
546	1916	6842
547	1920	6839
548	1922	6832
549	1926	6829
550	1929	6825
551	1932	6820
552	1935	6814
553	1938	6809
554	1942	6808
555	1946	6805
556	1949	6800
557	1953	6798
558	1956	6793
559	1959	6789
560	1962	6782
561	1965	6777
562	1969	6775
563	1971	6768
564	1975	6766
565	1979	6763
566	1981	6754
567	1984	6750
568	1987	6744
569	1991	6741
570	1994	6738
571	1998	6736
572	2002	6733
573	2004	6726
574	2007	6720
575	2010	6716
576	2013	6711
577	2017	6709
578	2021	6707
579	2025	6706
580	2029	6703
581	2032	6697
582	2035	6693
583	2037	6684
584	2039	6677
585	2043	6674
586	2047	6671
587	2050	6666
588	2053	6663
589	2057	6659
590	2060	6656
591	2064	6654
592	2068	6652
593	2073	6652
594	2076	6648
595	2080	6645
596	2083	6642
597	2087	6639
598	2090	6634
599	2094	6632
600	2097	6627
601	2100	6621
602	2103	6616
603	2106	6611
604	2109	6606
605	2112	6603
606	2116	6599
607	2120	6598
608	2124	6597
609	2127	6590
610	2130	6587
611	2133	6581
612	2137	6580
613	2141	6576
614	2145	6574
615	2147	6569
616	2152	6568
617	2155	6563
618	2158	6558
619	2162	6556
620	2165	6552
621	2167	6545
622	2170	6539
623	2172	6532
624	2175	6526
625	2178	6521
626	2182	6519
627	2184	6512
628	2187	6507
629	2191	6505
630	2194	6498
631	2197	6495
632	2201	6491
633	2205	6490
634	2208	6485
635	2210	6479
636	2214	6475
637	2217	6470
638	2220	6466
639	2224	6463
640	2227	6459
641	2230	6454
642	2235	6455
643	2238	6451
644	2241	6446
645	2245	6443
646	2248	6440
647	2252	6436
648	2254	6430
649	2257	6424
650	2261	6422
651	2264	6417
652	2266	6411
653	2269	6407
654	2273	6403
655	2275	6397
656	2278	6390
657	2280	6384
658	2284	6381
659	2286	6375
660	2289	6369
661	2292	6364
662	2296	6362
663	2299	6358
664	2302	6353
665	2305	6348
666	2309	6346
667	2313	6343
668	2315	6337
669	2319	6334
670	2322	6329
671	2325	6326
672	2328	6321
673	2331	6316
674	2334	6311
675	2336	6304
676	2339	6300
677	2342	6293
678	2344	6288
679	2348	6286
680	2352	6283
681	2356	6280
682	2359	6277
683	2362	6272
684	2365	6268
685	2369	6265
686	2373	6263
687	2375	6256
688	2379	6254
689	2383	6251
690	2386	6247
691	2389	6243
692	2391	6236
693	2393	6229
694	2396	6223
695	2400	6221
696	2404	6219
697	2406	6213
698	2409	6209
699	2413	6206
700	2416	6200
701	2422	6204
702	2425	6200
703	2429	6197
704	2433	6196
705	2437	6193
706	2441	6192
707	2445	6189
708	2448	6184
709	2450	6177
710	2452	6171
711	2456	6168
712	2458	6162
713	2461	6156
714	2464	6151
715	2468	6150
716	2472	6147
717	2475	6143
718	2479	6142
719	2484	6141
720	2487	6138
721	2491	6135
722	2493	6129
723	2496	6122
724	2498	6118
725	2501	6112
726	2504	6106
727	2507	6103
728	2510	6097
729	2512	6092
730	2515	6087
731	2518	6081
732	2522	6079
733	2525	6076
734	2529	6075
735	2533	6072
736	2537	6070
737	2540	6066
738	2544	6063
739	2547	6058
740	2551	6056
741	2553	6050
742	2557	6047
743	2559	6041
744	2563	6039
745	2566	6034
746	2570	6031
747	2572	6026
748	2576	6024
749	2580	6021
750	2582	6015
751	2587	6014
752	2591	6013
753	2595	6009
754	2597	6004
755	2600	5999
756	2604	5996
757	2607	5991
758	2610	5988
759	2614	5985
760	2617	5981
761	2620	5975
762	2624	5973
763	2627	5971
764	2631	5967
765	2634	5963
766	2637	5959
767	2641	5957
768	2644	5952
769	2647	5948
770	2651	5945
771	2654	5942
772	2658	5940
773	2661	5935
774	2665	5932
775	2668	5928
776	2673	5928
777	2677	5925
778	2681	5923
779	2684	5919
780	2687	5915
781	2690	5911
782	2693	5907
783	2697	5904
784	2701	5901
785	2704	5897
786	2706	5892
787	2710	5889
788	2715	5887
789	2718	5883
790	2722	5881
791	2725	5877
792	2728	5874
793	2731	5869
794	2736	5868
795	2739	5863
796	2742	5860
797	2745	5854
798	2749	5852
799	2752	5848
800	2755	5844
801	2758	5839
802	2761	5836
803	2765	5833
804	2769	5830
805	2771	5824
806	2775	5821
807	2777	5816
808	2781	5813
809	2785	5811
810	2788	5808
811	2792	5804
812	2795	5801
813	2799	5798
814	2802	5793
815	2804	5788
816	2807	5783
817	2809	5777
818	2813	5774
819	2816	5770
820	2820	5767
821	2823	5764
822	2826	5759
823	2829	5755
824	2833	5752
825	2835	5747
826	2839	5744
827	2844	5743
828	2846	5738
829	2850	5735
830	2853	5731
831	2857	5729
832	2861	5726
833	2865	5723
834	2868	5720
835	2872	5718
836	2875	5713
837	2879	5710
838	2882	5705
839	2885	5702
840	2889	5699
841	2892	5696
842	2895	5691
843	2898	5687
844	2902	5684
845	2904	5678
846	2908	5675
847	2911	5672
848	2915	5669
849	2919	5666
850	2921	5660
851	2923	5655
852	2927	5652
853	2930	5649
854	2933	5644
855	2937	5640
856	2940	5637
857	2944	5634
858	2948	5631
859	2950	5626
860	2955	5625
861	2958	5622
862	2963	5621
863	2967	5618
864	2969	5613
865	2973	5610
866	2975	5605
867	2979	5601
868	2982	5597
869	2985	5594
870	2989	5590
871	2992	5587
872	2995	5583
873	2999	5579
874	3002	5575
875	3005	5571
876	3008	5567
877	3011	5564
878	3015	5561
879	3018	5557
880	3021	5551
881	3025	5549
882	3027	5544
883	3031	5541
884	3035	5539
885	3039	5536
886	3042	5532
887	3045	5528
888	3049	5525
889	3051	5520
890	3055	5517
891	3058	5513
892	3063	5512
893	3066	5507
894	3069	5505
895	3072	5500
896	3076	5497
897	3079	5494
898	3084	5492
899	3087	5488
900	3091	5485
901	3094	5482
902	3098	5479
903	3100	5474
904	3104	5471
905	3106	5466
906	3109	5461
907	3112	5457
908	3116	5454
909	3120	5451
910	3124	5449
